name,discovery_method,discovery_year,orbital_period,distance,planet_radius
11 Com b,Radial Velocity,2007,323.21,93.1846,
11 UMi b,Radial Velocity,2009,516.22,125.321,
14 And b,Radial Velocity,2008,186.76,75.4392,
14 Her b,Radial Velocity,2002,1765.0389,17.9323,
16 Cyg B b,Radial Velocity,1996,798.5,21.1397,
17 Sco b,Radial Velocity,2020,578.38,124.953,
18 Del b,Radial Velocity,2008,982.85,76.222,
1RXS J160929.1-210524 b,Imaging,2008,,139.135,
24 Boo b,Radial Velocity,2018,30.33,95.9863,
24 Sex b,Radial Velocity,2010,452.8,72.0691,
24 Sex c,Radial Velocity,2010,883.0,72.0691,
2M0437 b,Imaging,2021,,128.484,
2MASS J01033563-5515561 AB b,Imaging,2013,,,
2MASS J01225093-2439505 b,Imaging,2013,,33.8281,
2MASS J02192210-3925225 b,Imaging,2015,,,16.141
2MASS J0249-0557 c,Imaging,2018,,66.0613,
2MASS J03590986+2009361 b,Imaging,2024,,117.435,
2MASS J04414489+2301513 b,Imaging,2010,,,
2MASS J11011926-7732383 b,Imaging,2024,,,
2MASS J11550485-7919108 b,Imaging,2024,,100.862,
2MASS J12073346-3932539 b,Imaging,2004,,64.308,
2MASS J19383260+4603591 b,Eclipse Timing Variations,2015,406.0,396.332,
2MASS J21252752-8138278 b,Imaging,2024,,34.1154,
2MASS J22362452+4751425 b,Imaging,2016,,69.5737,
2MASS J22501512+2325342 b,Imaging,2018,,57.2309,
4 UMa b,Radial Velocity,2006,270.27,73.4603,
47 UMa b,Radial Velocity,1996,1078.0,13.7967,
47 UMa c,Radial Velocity,2001,2391.0,13.7967,
47 UMa d,Radial Velocity,2009,14002.0,13.7967,
51 Eri b,Imaging,2015,9100.0,29.7575,
51 Peg b,Radial Velocity,1995,4.2308,15.4614,
55 Cnc B b,Radial Velocity,2025,6.7994,12.4773,
55 Cnc B c,Radial Velocity,2025,33.747,12.4773,
55 Cnc b,Radial Velocity,1996,14.6516,12.5855,
55 Cnc c,Radial Velocity,2004,44.3936,12.5855,
55 Cnc d,Radial Velocity,2002,4799.0,12.5855,
55 Cnc e,Radial Velocity,2004,0.7365,12.5855,1.875
55 Cnc f,Radial Velocity,2007,260.58,12.5855,
6 Lyn b,Radial Velocity,2008,919.86,54.6599,
